Video id,Title,Description,Category
banA7Dpnhe8,"How to Cover Science and Technology for Govt. Exams [UPSC CSE/IAS, SSC CGL/CHSL, CDSE, IES]","In about 20 minutes, Deepanshu Singh answered all the major queries related to studying 'Science and Technology' for all the major government examinations, right from the core topics to current affairs.

Subscribe to the channel for daily live sessions by our top educators - Roman Saini, Vimal Singh Rathore, Deepanshu Singh, and many more.

Download Unacademy Learning App for Android: https://play.google.com/store/apps/details?id=com.unacademyapp&hl=en",Science and Technology
gJDcyMpEUZ4,International Conference on Education Science and Technology (ICESTech) 2019,"International Conference on Education, Science and Technology (ICESTech) 2019

13 - 16 March 2019

Universitas Negeri Padang",Science and Technology
xZiHrV2DuIE,"Day 20 How to cover Science and Technology (Physics, Chemistry, Biology, Technology) for UPSC","Don't miss daily Pledge Classes - Daily 9 PM - http://bit.ly/coursavypledge

Follow these 3 steps to get comprehensive learning experience with Vimal Singh Rathore, Formerly Selected as DySP, Central Police Forcer, Former Head of Growth and Strategy at Unacademy.
Step 1 - Pledge at Coursavy - Daily 9 PM - http://bit.ly/coursavypledge
Step 2 - Coursavy Pledge Official Group -https://www.facebook.com/groups/coursavy/
Step 3 - Telegram Channel - http://t.me/coursavy
Missed Coursavy Pledge - Watch all sessions here - http://bit.ly/yourpledge",Science and Technology
JcpECAytbvY,NBKR Institute of Science and Technology Live Stream,,Science and Technology
Quk0jdYs0nc,Top 50 Questions on Science &amp; Technology | General Awareness for All Bank Exams | Abhijeet Sir,"Attempt these Questions on Science & Technology and boost your General Awareness Preparation. Note down important points and revise them later as they are frequently asked in Bank Exams!

~Discuss your Banking & Financial Awareness Doubts with Abhijeet Sir:
https://testbook.com/discuss/t/abhijeet-mishra

COURSE MELA!!
Get upto 70% off on All Online Courses! 
Link : https://testbook.com/u/livecourse
(Offer Valid till 16th March 2019 11:59 pm)

Crack SBI PO Prelims + Mains + Interview with our Experts! Get 220+ Live Classes + Video Lessons + PDFs + Quizzes for Just ₹4999/- 
Link : https://testbook.com/u/sbipo 

SSC CGL Complete Live Batch for Tier 1 & Tier 2. Get 150+ Live Classes+ Video Lessons+PDFs+Quizzes! 
Link : https://testbook.com/u/ssccgl 
 
Crack RRB JE CBT 1 with our Experts! Get 230+ Video Lessons + Live & Doubt Sessions + PDFs for just ₹2249/- 
Link : https://testbook.com/u/rrbje 

Crack SSC CHSL and MTS Tier 1 Exam with our Experts! Get Live Classes+Video Lessons+Quizzes+PDFs for just ₹2249/- 
Link : https://testbook.com/u/sscchslmts

Crack RRB NTPC CBT 1 Exam with our Experts! Get Live Classes + Doubt Sessions + PDFs + Quizzes for just ₹1749/-
Link : https://testbook.com/u/rrbntpc

Crack LIC AAO 2019 Exam with our Experts! Get Video Lessons + PDFs + Quizzes for just ₹1999/-
Link : https://testbook.com/u/licaao

Crack ALP CBT 3 Psycho Test! Get Video Solutions + Tricks for just ₹1499/- 
Link : https://testbook.com/u/alpcbt3

Join Testbook's Official Telegram Channel! Link : https://t.me/testbookcom 

Crack GA & Banking Awareness with Financial Guru Abhijeet Sir - Videos, Quizzes, PDFs + Secret Strategies for just ₹3499/-
Link : https://testbook.com/u/gaba

Crack Advanced Maths for RRB JE, SSC CGL, SSC CPO & SSC CHSL! Get Live & Doubt Classes + Video Lessons + PDFs for just ₹1299/- 
Link : https://testbook.com/u/advmaths 

Crack DI & Caselet for Banking Exams
Link : https://testbook.com/u/dicaselet 

GS Foundation Pocket Course : 
Link : https://testbook.com/u/gsfoundation

Stop buying Test Series again and again! Buy Testbook Pass and get Test Series for 65+ exams with 12 months validity. Get Testbook Pass now: https://testbook.com/u/pass

Class Schedule for 15th March 2019

7:30 AM - 15th March Current Affairs - http://bit.ly/2F1iJpn
8:30 AM - RRB NTPC | JE Quant Class : http://bit.ly/2TOewyT
9:30 AM - RRB NTPC | JE Reasoning Class : http://bit.ly/2Cn2xyc
10:30 AM - RRB NTPC | JE GS Class : http://bit.ly/2EZfMpo
11:30 AM - Weekly Rewind Live Quiz : http://bit.ly/2W5Jwbf
12:30 PM - SSC CGL | CHSL | MTS GS Class : http://bit.ly/2O3sEiu
1:30 PM - SSC CGL | CHSL | MTS English Class : http://bit.ly/2Hwyis9
2:30 PM - LIC AAO Strategy Session : http://bit.ly/2HmuI4p
3:00 PM - SSC CGL | CHSL | MTS Quant Class : http://bit.ly/2HlgAZc
4:00 PM - SSC CGL | CHSL | MTS Reasoning Class : http://bit.ly/2u5WlWV
5:00 PM - Government Exam GA Class : http://bit.ly/2Fa50he
6:00 PM - Banking & Insurance Quant Class : http://bit.ly/2W1GWD4
7:00 PM - Banking & Insurance Reasoning Class : http://bit.ly/2VYSd6T
8:00 PM - Banking & Insurance English Class : http://bit.ly/2J9KxNx
9:00 PM - English Radio Class : http://bit.ly/2UwmlX0


#DailyCurrentAffairs
#LatestNews
#GKQuestions
 
~Watch Daily Current Affairs Videos by Abhijeet Sir:
https://www.youtube.com/watch?v=MNaAtJ1xMWk&list=PLPOW4yzC55NlXp3JP_PQ2vr3QOIa5FtgS

Moreover, visit Testbook Blog to find more such articles & boost your exam preparation. Stay tuned with Testbook’s YouTube channel and other socials (FB, Twitter, Instagram) to get instant updates on job notifications, current affairs, test series, free tests, recent exams and much more.

Don't forget to like, share and subscribe for more Crazy GK Tricks.

Facebook - https://www.facebook.com/testbookdotcom/
Twitter - https://twitter.com/Testbookdotcom/
Instagram - https://www.instagram.com/testbookdotcom/
Download Testbook App - http://bit.ly/testbookmobileapp
Download Current Affairs App - http://bit.ly/testbookCA",Science and Technology
m7uuxiCV3NE,"रक्षा प्रौद्योगिकी व नैनो तकनीकी | Science &amp; Technology | For RAS Pre, SI, HM | By Madhukar Kotawe","8:15AM-Sci. & tech. | विज्ञान एवं प्रौद्योगिकी | Part-13 | For RAS Pre, SI, HM | By Madhukar Kotawe

ई-शिक्षा के क्षेत्र में नया धमाका...उत्कर्ष का नया मोबाईल एप लॉंच हो गया है...आप इस लिंक को क्लिक करके Install कीजिए व ई-उत्कर्ष का आनंद लीजिए।
https://play.google.com/store/apps/details?id=com.utkarshnew.android&hl=en



✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️
►उत्कर्ष क्लासेस जोधपुर के यूट्यूब् चैनल को सब्सक्राइब करने के लिए नीचे दिए लिंक पर क्लिक करें 👇👇👇👇👇 https://www.youtube.com/channel/UCLuB... 
►उत्कर्ष क्लासेज के APP को Google Play Store पर जाकर Install कर सकते है या इस लिंक पर क्लिक करें (Now Learn Online with Utkarsh App click here to visit)👇👇👇👇 https://goo.gl/mLx4gq


►Contact us:
Call us at 91166-91119 for New Batch Information
Visit to Utkarsh Website: 👇👇👇👇👇
http://www.utkarshjodhpur.com/
Visit to Utkarsh Classes Facebook Page: 👇👇👇👇👇
https://www.facebook.com/nirmalgehlot...

✳️✳️✳️✳️✳️✳️✳️✳️✳️PLAYLISTS:
►Indian Polity की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSHVhmubchzIj2OinjJi-yWj

► किशोर राजपुरोहित सर की Math के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSF-x-sxeBWT_x_iacWDVu5X

► अक्षय गौड सर की Maths के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSEcT9VD5cCOiy3BEzqc123Z

► Indian History के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSGDRWiO_395grqebwU9Hz0g

► Indian Geography के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSHaUJn8Uq45-zRnCr8Vy1Qz

► World Geography के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSEeHPGJ6dOGeo53pCf-d-yx

► Rajasthan Geography के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSFnc3qU91ClyQM_FJFlA2rd

► अक्षय गौड सर के Reasoning के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSGn9wcaUOz264cGKfLGvgRS

► लालसिंह कविया सर के English के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSEpJI0QsNuJChH8e9E5Eow9

►पवन कुमार झा सर के Education Psycholoty के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSEKMdMSc_nWgAxAC7fi5Stp
https://www.youtube.com/playlist?list=PLoZP2WsNfBSFnOfFkXGoOX6lvp3eSEYTf

मुकेश शर्मा सर के Economics के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSFDabAKHANM1LJIEgciEeB_

► हिन्दी व्याकरण के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSGTrwzsABeJrk1EGmaqjjxx

► राजस्थान के इतिहास के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSHXy-V_Wl6JNU1WgW8Yx5fV 

► Current GK के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSHwAo05xton8F6Sql6YImYb

► Computer विषय के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSF5Wso8XVp0eeEgygt2g-jn",Science and Technology
FvTRGjGsSi4,"नैनो तकनीकी व मानव आहार | Science &amp; Technology | For RAS Pre, SI, HM | By Madhukar Kotawe","10:25AM-Sci. & tech. | विज्ञान एवं प्रौद्योगिकी | Part-14 | For RAS Pre, SI, HM | By Madhukar Kotawe

ई-शिक्षा के क्षेत्र में नया धमाका...उत्कर्ष का नया मोबाईल एप लॉंच हो गया है...आप इस लिंक को क्लिक करके Install कीजिए व ई-उत्कर्ष का आनंद लीजिए।
https://play.google.com/store/apps/details?id=com.utkarshnew.android&hl=en



✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️✳️
►उत्कर्ष क्लासेस जोधपुर के यूट्यूब् चैनल को सब्सक्राइब करने के लिए नीचे दिए लिंक पर क्लिक करें 👇👇👇👇👇 https://www.youtube.com/channel/UCLuB... 
►उत्कर्ष क्लासेज के APP को Google Play Store पर जाकर Install कर सकते है या इस लिंक पर क्लिक करें (Now Learn Online with Utkarsh App click here to visit)👇👇👇👇 https://goo.gl/mLx4gq


►Contact us:
Call us at 91166-91119 for New Batch Information
Visit to Utkarsh Website: 👇👇👇👇👇
http://www.utkarshjodhpur.com/
Visit to Utkarsh Classes Facebook Page: 👇👇👇👇👇
https://www.facebook.com/nirmalgehlot...

✳️✳️✳️✳️✳️✳️✳️✳️✳️PLAYLISTS:
►Indian Polity की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSHVhmubchzIj2OinjJi-yWj

► किशोर राजपुरोहित सर की Math के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSF-x-sxeBWT_x_iacWDVu5X

► अक्षय गौड सर की Maths के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSEcT9VD5cCOiy3BEzqc123Z

► Indian History के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSGDRWiO_395grqebwU9Hz0g

► Indian Geography के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSHaUJn8Uq45-zRnCr8Vy1Qz

► World Geography के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSEeHPGJ6dOGeo53pCf-d-yx

► Rajasthan Geography के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSFnc3qU91ClyQM_FJFlA2rd

► अक्षय गौड सर के Reasoning के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSGn9wcaUOz264cGKfLGvgRS

► लालसिंह कविया सर के English के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSEpJI0QsNuJChH8e9E5Eow9

►पवन कुमार झा सर के Education Psycholoty के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSEKMdMSc_nWgAxAC7fi5Stp
https://www.youtube.com/playlist?list=PLoZP2WsNfBSFnOfFkXGoOX6lvp3eSEYTf

मुकेश शर्मा सर के Economics के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSFDabAKHANM1LJIEgciEeB_

► हिन्दी व्याकरण के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSGTrwzsABeJrk1EGmaqjjxx

► राजस्थान के इतिहास के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSHXy-V_Wl6JNU1WgW8Yx5fV 

► Current GK के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSHwAo05xton8F6Sql6YImYb

► Computer विषय के वीडियोस की Playlist देखने के लिए क्लिक करें
https://www.youtube.com/playlist?list=PLoZP2WsNfBSF5Wso8XVp0eeEgygt2g-jn",Science and Technology
zIfdDu82Iyo,3-stage Civil Nuclear Power Programme - Science and Technology for UPSC (Episode 3),"You can find all the courses by Vishwa Vivek Sharma here: https://goo.gl/7pXKPJ

Download the Unacademy Learning App from the Google Play Store here:- https://goo.gl/02OhYI 

Do Subscribe and be a part of the community for more such lessons here: https://goo.gl/gycFVs",Science and Technology
vb1Ea7A1CLg,Expected Questions on Science &amp; Technology 2018 - UPSC IAS Prelims (Part 1),"Dr. Manishika Jain discusses Expected Questions on Science and Technology 2018 for IAS Prelims Part 1

For UPSC preparation refer - https://www.doorsteptutor.com/Exams/IAS/
https://www.examrace.com/IAS/IAS-FlexiPrep-Program/

For NET Preparation refer - 
https://www.examrace.com/CBSE-UGC-NET/CBSE-UGC-NET-FlexiPrep-Program/
https://www.doorsteptutor.com/Exams/UGC/

Handouts @ https://www.examrace.com/Current-Affairs/",Science and Technology
wNLzvU6XvqI,Science and technology policy in the Trump era,"This event is hosted by the Science, Technology, and Public Policy program, and is co-sponsored by Rackham Graduate School and the University of Michigan Office of Research.",Science and Technology
