Video id,Title,Description,Category
NaEUBWrye1s,"Live from Times Square, New York","http://bit.ly/subscribeMT

If you have any other query feel free to ask at -
 www.facebook.com/groups/touristhelpline 
(It may not be possible for me to answer every question here, but other group members, travellers, and travel experts can help you)

Other travel series  - 
# THAILAND playlist - http://bit.ly/MTthailand2017 
# EUROPE Playlist - http://bit.ly/MTeurope2016
# BANGLADESH playlist -  http://bit.ly/MTbangladesh2015
# SPITI (India) playlist - http://bit.ly/MTspiti2017
# MALAYSIA playlist - http://bit.ly/MTmalaysia2017
# RUSSIA playlist - http://bit.ly/MTrussia2017
# BALI playlist - http://bit.ly/MTbali2017
# MIZORAM playlist - http://bit.ly/MTmizoram2017
# EGYPT playlist : http://bit.ly/MTegypt2018
# USA playlist : http://bit.ly/MTusa2018

PLEASE SHARE THE VIDEOS AND LET OTHERS GET INFORMED ABOUT THIS CHANNEL 

My blog: www.touristhelpline.com
INSTAGRAM.com/touristhelpline
FACEBOOK.com/page.touristhelpline
TWITTER.com/touristhelpline

THINGS I USE WHILE TRAVELLING
Camera 1: https://goo.gl/hhx1fy
Camera 2: http://amzn.to/2gHOIRU
Gimbal: http://amzn.to/2B9cSPW 
Selfie stick / Monopod: http://amzn.to/2zUY42W
phone: https://amzn.to/2qRjSch
For Video editing: http://amzn.to/2oCWOQa
Rucksack - http://amzn.to/2jiCpha",Travel
0gWsO2G3HRI,Travel Questions | Tips &amp; Tricks To Travel Vlogging,,Travel
5vt6Y1_t6hw,Travel Inspiration Live Stream || Meet My Blog! || OBS Test Stream,"This stream is multi-functional - I am testing out using OBS for the first time, I'm introducing you all (after a year) formally to my blog, and I'm hoping to give you all some amazing travel inspiration. This is just a fun chat stream, designed to instigate discussion about travel, the world, life and whatever, as well as see how good I am at running OBS Studio for the first time ever! Come join in on the chaos and fun!

If you think I could do Kerala, India justice with my travel videos and blogs, please find it in your heart to nominate me, by filling out this quick form here: http://keralablogexpress.com/nominate 

The information you will need about me: 
Name: Marti Doktorchik
Email: downthewrabbithole@gmail.com
Nationality: Canadian
Social Media Channels: Your choice from any of my social media outlets
Then there's a small section where you can tell the adjudicators why you think I deserve to go. I appreciate any kind words you can muster up! 

Down the Wrabbit Hole Social Media:
Instagram:https://www.instagram.com/down_the_wr...
Facebook:https://www.facebook.com/DownTheWrabb...
Blog / Website: http://downthewrabbithole.blogspot.com
Twitter: https://twitter.com/thewrabbithole

Mailing Address:
Down the Wrabbit Hole
P.O. Box 5772
Lacombe, AB
T4L 1X3
Canada

When I Post:
Watch for Wednesday vlog videos, which accompany a blog post on my website. Subscribe by email so you don't miss a post! 
On Sundays I post ""Simply Video Sunday"" posts which are stand-alone videos. Subscribe to my YouTube channel so you don't miss a video!

Music Credit:
Rollercoaster Countdown - Copyright Free:
https://www.youtube.com/watch?v=UdHIvoqtTYc

Intro Credits:
Intro Video:
Travel Video Template: videogusev from After Effects (https://videohive.net/user/videogusev...)
Music Credit: KSMK - Just my imagination (Vlog No Copyright Music)
Music provided by Vlog No Copyright Music.
Video Link: https://youtu.be/5v_zQANhToo",Travel
AYbJf_wJYcc,13 Travel Tips for INTROVERTS,"Introverts can enjoy travel too!  13 tips to help introverts make the most out of their trips and be comfortable!  I have a secret, and you probably won’t believe it based on what you perceive of me on Youtube, but I’m one of the biggest introverts you’ll ever meet!  When I share this with people I’m told I “hide it very well.”  I can be extremely “outgoing” in bursts, but I need time to recharge.  I don’t think you have to hide being an introvert.  Embrace it, and follow these tips to get more enjoyment out of your introvert travels!

1 - Travel Solo
 Some people just can’t conceive that this is possible, or that anyone would want to do this.  Or that it’s strange, or you’re weird.  Don’t listen to them.  Lots of people do it, and there’s nothing strange about it.

2 - Avoid group tours
 Try Audio Guides instead like Detour, or Rick Steves Europe Walks

3 - But sometimes you might want some group activity
 Maybe a couple hour walking tour
 Or “active” tours, like a cycling tour… can’t talk too much there.
 Or an evening pub crawl
 They are bounded in time, and you can retreat to your “me” space

5 - Stuck with a group?  Make sure you have some downtime scheduled in.
Be up front with them… you need your me time. It’s ok.

6 - Traveling with an extrovert?  It’s OK to do separate things sometimes and then join up
 Be up front with them… you need your me time. You’re not weird.

7 - Noise cancelling headphones are your friends

8 - Restaurants
Bring a book (your travel guide)
Eat early, they won’t mind if you’re taking up a whole table
Sit at the Counter
Go fast casual

9 - Avoid Hostels, Tread carefully with Bed and Breakfasts
 Hostels are party places, and not much alone space
 Research the B&B, make sure they don’t have group breakfasts, and the hosts aren’t too invasive or chatty
Call in advance and explain that you’re looking for a place where you can be alone

10 - Take a camera
 Gives you something to do… you’ve got a mission.  Make a youtube video!

11 - On a long road trip 
Listen to Audio Books

12 - Head in to Nature
take a hike… not many people out there

13 - Know when you’re done
 Know when your social batteries are empty
It’s ok to pass on after dinner drinks, or even dinner itself.
I eat when I’m hungry, I drink when I’m thirsty, and I rest when I’m tired.  I don’t want to get sick.

NEXT LIVE STREAM: Monday October 29 @ 8PM Los Angeles Time! Follow me on Facebook for more updates!  Yellow Productions on Facebook: https://www.facebook.com/YellowProductionsTravel

Missed my last live stream?  Browse through all my Monday Live Streams in this playlist:: https://www.youtube.com/playlist?list=PLOVadUHX1B-JGLMwqvLbS9kkgAlhNWTp2

CLICK HERE TO SUBSCRIBE: http://bit.ly/yellowwsub


Yellow Productions on Social Media:
FACEBOOK: https://www.facebook.com/YellowProductionsTravel
INSTAGRAM: https://www.instagram.com/yellowwproductions/
TWITTER: ChrisRaney
GOOGLE+: https://google.com/+yellowwproductions

Check out my blog at:
http://yelloww.net",Travel
SJ_oMilbRis,Tips to SAVE MONEY and TRAVEL FULL TIME! (live),"Tips to save money and travel full time!

1. GAS AND GROCERIES people!!
2. Lower your bills
3. Get a travel credit card (I have captial one 360 Venture card) 
4. Learn a trade that you can carry with you around the world! 

PLEASE comment below with more questions!! 

Stay safe traveling:  10% off with code SHAYLA
https://www.skyroam.com?rfsn=2062715.46c0bd

Become a Patreon: 
Get the inside scoop, discounts and be Shayla's resource for questions for a small audience!
https://www.patreon.com/livingonaoneway
———————————————
Let’s be social: 
contact@livingonaoneway.com
http://www.instagram.com/livingonaoneway http://www.youtube.com/livingonaoneway
http://www.facebook.com/livingonaoneway
Get on the mailing list: http://eepurl.com/cTfjkH 
———————————————
The Equipment I use: 
Camera: http://amzn.to/2r5vOdK
Lens: http://amzn.to/2D9BFEw
Tripod: http://amzn.to/2r3avJx
TubeBuddy
https://www.tubebuddy.com/loaow
Subtitles coupon for $10 off Rev: https://www.rev.com/blog/coupon/?ref=shayla",Travel
IhYmWYvqV3I,Why does the Travel Blogging Community NOT Recognize Black Travel Bloggers?,"Why does the Travel Blogging Community NOT Recognize Black Travel Bloggers?

Response to White House Travel Blogger Summit
http://www.youtube.com/watch?v=CeHZvOQJiaY


The White House recently invited travel bloggers to attend the White House Travel Blogger Summit on Study Abroad and Global Citizenship which was held on December 9, 2014.  When I heard rumors of the top 100 travel bloggers being invited to the White House for this prestigious event, I asked to see the list of the Top 100 Travel Bloggers which was not necessarily the same as the White House invitee list. However the Top 100 Travel Bloggers List did not include one Black or African American Travel Blogger. Upon further investigation as to which bloggers of color received an invite to this ground-breaking travel promotion event, it was revealed there were no Black or African American Travel Bloggers invited to this White House Travel Blogger Summit. I stated to the travel blogging community of whom are predominantly white that the list lacked Black People. Their responses were that Black Travel Bloggers lack the statistics and influence of White Travel Bloggers. We did not measure up to their metrics for the Top 100 Travel Bloggers List. Some of the bloggers inquired as to whom should be included on the list this verifying stats. I mentioned some top influential Black Travel Bloggers that I know personally as I don’t have stats of their readership available. Despite suggestions of possible candidates, not one Black Travel Blogger was present.  The travel blogging community encourages black travel bloggers to keep trying, work harder and maybe next year you will make it. This group also stated that none of the black travel bloggers has the reach level of influence of  Johnny Jet or Nomadic Matt. We pointed out to this travel blogging community that Blacks desire to learn about travel from people who look like them. Traveling while Black is an experience that can only be shared by a Black person. Despite a very heated debated Black Travel Bloggers were snubbed by the travel blogging community  and not invited to the White House Travel Blogger Summit. This is unacceptable from a travel community group of people who are suppose to have a multicultural viewpoint from their travel experiences.

Please like and share this video. Subscribe to The Skychi Travel Guide Live Channel for more videos.
Show Link Url:http://www.youtube.com/channel/SW0feki1ddLBg
 
Subscribe to our blog The Skychi Travel Guide http://theskychitravelguide.blogspot.com.

Join our Travel Community How To Travel - TSTGLive
http://plus.google.com/u/0/b/114185533550463652486/communities/111520174217117667755/stream/25ff98e5-f9f1-41c1-87bd-1d4bd51c9faa

The Skychi Travel Guide Live is a digital platform which broadcasts  on youtube to inform travelers on tips about how to travel to destinations, booking vacations, and navigating air travel. Janice Temple is the host of the show that interviews travel media industry for the latest advice.

The Skychi Travel Guide Live broadcast Tuesdays from 7 pm CST on Youtube featuring Flight Tales, Flying Insider Tips, and Flying Hot Topics.

CONNECT WITH ME!

Twitter http://twitter.com/skychi_travels


Facebook at http://www.facebook.com/TheSkychiTravelGuide


Pinterest http://pinterest.com/skychitravels


Youtube http://youtube.com/user/jtemplerobinson


Youtube http://youtube.com/user/skychitravels


Goggle Plus http://plus.google.com/112915558095283084432


The Skychi Travel Guide Google Plus Page:
http://plus.google.com/114185533550463652486",Travel
k9ee6le50FA,LIVE CHAT: Minimalism and Travel,"This month's live chat is about minimizing your life and maximizing your experiences! We will be giving you an update on our Airstream and answering any questions you have!
∥↠ SUBSCRIBE FOR ADVENTURE..IT'S FREE: http://bit.ly/1258Cu2 ↞ ∥

☆ Equipment Used ☆
↠ DJI Phantom 4 - http://bit.ly/DJIPhantom4Drone
↠ Sony NEX A7 - http://amzn.to/1C5iTFO
↠Sony RX100 4 - http://bit.ly/SonyRX1004
↠ Sony HD Camcorder - http://amzn.to/P943IS
↠ Rhode VideoMic Pro Compact http://bit.ly/CameraRhodeMic
↠ GoPro Hero 4 http://bit.ly/SilverGoProHero4
↠ Final Cut Pro

☾☼☮ OTHER PLACES TO FIND ME ☮☼☽

↠ Blog -  http://www.hopscotchtheglobe.com
↠ Instagram -  https://instagram.com/hopscotchtheglobe
↠ Snapchat -  itskristensarah
↠ Twitter -   http://www.twitter.com/htglobe
↠ Facebook -  http://www.facebook.com/hopscotchtheglobe

◅ ▻ CONTACT ◅ ▻
↠ Business: hopscotchtheglobe@gmail.com
↠ Acting & Hosting Agent: connect@riverlighttalent.com 
↠ Questions: http://www.twitter.com/htglobe

✉ SEND ME MAIL ✉
Kristen Sarah, PO Box 84641, 2336 Bloor St. West, Toronto, Ontario, Canada, M6S 1T0

✺⟡ WHERE YOU CAN FIND SIYA ⟡✺

↠ Youtube: http://www.youtube.com/siyazarrabi
↠ Instagram: http://www.instagram.com/siyazarrabi
↠ Snapchat -  SiyaZarrabi
↠ Twitter: http://www.twitter.com/siyazarrabi  

✈ Want to travel the world and make kick ass travel videos? Check out the course Hey Nadine, Nomadic Matt and I created just for you: http://bit.ly/MakeKickAssTravelVideos

♫ Music ♪
https://player.epidemicsound.com/",Travel
ygoBZgphx0k,"BOOK, LIFE &amp; TRAVEL UPDATE!","As my life is revolved around my book right now, there is no video, so, let's go live!

--------------------- Important stuff ---------------------

Support me on Patreon: https://www.patreon.com/psychotraveller

DON'T FORGET TO BECOME A LITTLE PSYCHO: http://goo.gl/GnWOIt

SUBSCRIBE TO SCOTTY DOES: https://goo.gl/ytbzgJ

--------------------- Social media is sexy ---------------------

Facebook: http://goo.gl/K0u8pa
Twitter: http://goo.gl/FsbWJR
Pinterest: http://goo.gl/qgRD4v
Instagram: http://goo.gl/abzups
SnapChat: PsychoTraveller

My blog: http://goo.gl/5zP0dG

Business email: psychotraveller22 at gmail dot com

 --------------------- What I Film My Videos With  ---------------------

GoPro Hero 4 Silver: http://goo.gl/9AE4Yu

Sony A5100: http://goo.gl/Fo1DDY

 --------------------- Some Sexy Stuff Right Here!! ---------------------

Get $30 off your first stay on Airbnb: https://www.airbnb.com.au/c/aford34?s=8

Get $10 off GoPro accessories with the code “PsychoTraveller” here: http://www.sandmarc.com/

(Above are affiliate codes/links which mean if you sign up/buy a product, at no extra cost to you, I make a little bit of money to help me maintain my channel and blog!)",Travel
BcDFGR2hvNM,11 Things I Love About Traveling to Singapore,"Singapore is one of my favorite travel destinations in the world.  I share with you my top 11 reasons why I love traveling to Singapore.  The producer of Crazy Rich Asians said that movie was his “love letter” to Singapore -- which inspired me to make this video!
EXPAND DESCRIPTION FOR TABLE OF CONTESTS.

1 - The Food!  
Hawker Centres, Food Courts (for A/C), 
Clean, don’t have to worry about getting sick
Laksa, Noodles, Satay, Fruit Juices
Pack of tissue to “chope” a seat

2 - It’s a great Mileage Run!
Regularly $600 round trip from LAX

3- Changi Airport
Butterflies, Koi Fish, Movie Theatre, 3-story slide, 24 hour food courts

4- Singapore Airlines
Satay in Flight -- their lounges are amazing!  Dim Sum!  Singapore Girl dress, since 1972

5- The Gardens
Gardens by the Bay, Cloud Forest Dome, Supertrees, Skywalk, Botanic Garden (1,200 species of orchids, 4.5 million visitors per year)

6- Hotels
Marriott on Orchard Road, Conrad in the CBD

7- Public Transit
MRT is well signposted, easy to navigate and air-conditioned (refuge from hot-steamy weather above), most attractions within walking distance of the MRT.  Polite Passengers, Cheap: 2 day pass is $16, and it’s on time.  Just don’t drink, eat, or bring on a durian!
Taxis are easy to get: 30,000 official taxis servicing a population of fewer than 5.5 million people
8- Urban Hiking
Singapore Southern Ridges Trail -- you’re never far from an MRT

9- Singapore Zoo
I think it’s the best in the world!  

10- Multiculture
combination of Asian and European cultures. Influenced by Malay, South Asian, East Asian, and Eurasian cultures, Singapore has been dubbed as a country where ""East meets West""

Singapore population is 74.2% Chinese, 13.3% Malay, 9.2% Indian and 3.3% other. It’s also the most religiously diverse nation in the world, its population made up of sizable portions of Buddhists, Christians, Muslims and Hindus.

In Singapore's hawker centres, for example, traditionally Malay hawker stalls selling also Tamil food. Chinese stalls may introduce Malay ingredients, cooking techniques or entire dishes into their range of catering.

More than seven in 10 Singaporeans believe personal success is independent of race or ethnicity

11 - Don’t need to pack any winter clothes
Nobody complains about being cold! (well as long as they are outside)


Want to see more about Singapore?  Watch my other Singapore travel guides: 
Crazy Rich Asians Singapore Filming Locations: https://youtu.be/dgTn2MlTR9E
Singapore Travel Tips: https://youtu.be/Grs7-Ck5Ka4
Gardens by the Bay: http://youtu.be/JUAHZhnqdlk
Singapore Travel Guide: http://youtu.be/OpB1O8_ViVg
Sentosa Island: http://youtu.be/wfHWfkp9A5Q
Singapore Cable Car: http://youtu.be/Z08LzwjZUf8
Singapore Hawker Centre Food: http://youtu.be/ikJ7C_o_wds
Best Hawker Centres in Singapore: https://youtu.be/zanoK-z3d9o
Singapore Southern Ridges Trail: http://youtu.be/TgV1xaW6zTE
Haw Par Villa Singapore: http://youtu.be/TFDF7JwuMyg
Conrad Singapore Hotel Review: http://youtu.be/e7vt2kpxZ0M
Marriott Singapore Hotel Review: http://youtu.be/KnablyaQNZk


NEXT LIVE STREAM: Monday September 10 @ 8PM Los Angeles Time! Follow me on Facebook for more updates!

Missed my last live stream?  Browse through all my Monday Live Streams in this playlist:: https://www.youtube.com/playlist?list=PLOVadUHX1B-JGLMwqvLbS9kkgAlhNWTp2

CLICK HERE TO SUBSCRIBE: http://bit.ly/yellowwsub


Yellow Productions on Social Media:
FACEBOOK: https://www.facebook.com/YellowProductionsTravel
INSTAGRAM: https://www.instagram.com/yellowwproductions/
TWITTER: ChrisRaney
GOOGLE+: https://google.com/+yellowwproductions


Check out my blog at:
http://yelloww.net",Travel
VhefABRqNIg,Planning for travel: How I plan for a trip + Q&amp;A,"I like to travel, but before I can go anywhere I have to plan the journey.  In this LIVE video I share my method for travel planning and tips to hopefully make it easier for you.

Show notes:
Big trip: 3-12 months out

Little trip: 3 weeks prior

First thing: Decide on the destination and roughly the timeframe.

I usually have a ""set"" of destinations in mind. 

Flight considerations:: Flight cost, Flight duration (connections), Airline, Alliance, Class of Service, Revenue or Award

If an award ticket always the saver ticket, usually business class.  Make sure to check other airlines website for availability and CALL.  Partner airlines almost always have the best availability.

Award tickets: Think of creative routings, look at an airline route map, SAN to NRT on JAL, LAX to VIE on Austrian

United miles: At least 3 cents per mile

If booking on short notice what seats are available?  Exit row economy plus?

What are the ontime statistics for the flight?  Tip: Early morning flights are the most ontime.  High revenue flights also most ontime.

Might I be changing the flights quite a bit?  Then Southwest -- no change fees.

Tools I use: Kayak, Google Flights, ITA Matrix, Airline Websites (actual and partner), and calling the airline.

Use month long views, flexible dates, pick some random specific dates and write down the best ones.

Picking a hotel:
Start with TripAdvisor
Read FlyerTalk threads
Look for blog reviews on the hotel

I like Marriott&Sheraton, Hyatt, Hilton (in that order).  Best Western and Holiday Inn basically don't exist for me.  Radisson nice internationally.

I tend towards large business hotels, but also like the boutique mini chains, Autograph Collection and Andaz.

I avoid domestic Courtyards like the plague.

Factors for hotel decision: Cost, Quiet rooms, Good AC, Good Location (public transport), Good and cheap (free?) Breakfast, Lounge access, close to restaurants & grocery store.

For big chain hotels I always book thru the hotel website.  For international trips often Expedia.  For Japan: Rakuten.

Tip:. Check special hotel rates: AAA, Senior, other?

Some hotels have bizarre minimum stay requirements (Andaz Maui I'm talking about you!)

I almost always book refundable and changeable hotel reservations.

If I don't know specific cities yet, I'll start with a full booking at arrival airport city and shorten reservation later.

Buy a few travel books -- Rick Steves for Europe.  Select from the most popular on Amazon.

Watch YouTube videos.  Read wikitravel,
Look for other people's itinerary for similar trip length.

Develop general itinerary in Google Docs.  Also Google keep. Detailed down to what city per day and where we sleep.  What mode of transport? Car, train, plane?

Generally at least 2 nights in a hotel, prefer 3.  Generally prefer trains, then car, then planes

Make new hotel bookings or change if new destinations.  Check prices of existing reservations.

A month out: Book train tickets or buy rail passes.  Print out ideal train times.  Determine airport to hotel transportation.  Print out major attraction info.

Right before I go: Check the weather -- Make sure I've packed appropriately.  Also be on the lookout for possible weather delays.  Change flights if Weather Advisory allows.  Check hotel prices again, change to non refundable if available.  Make sure I have enough money in my ATM card account.  Download Google maps offline.

Night before: Decide which travel buddies are going..  Finish final packing of luggage.

Missed my last live stream?  Watch how I pack my luggage here:  https://youtu.be/X7SL1BXWEOI?list=PLOVadUHX1B-JGLMwqvLbS9kkgAlhNWTp2


CLICK HERE TO SUBSCRIBE: http://bit.ly/yellowwsub

You might enjoy watching some of these other videos:

Follow me on:
FACEBOOK: https://www.facebook.com/YellowProductionsTravel
TWITTER: ChrisRaney
GOOGLE+: https://google.com/+yellowwproductions

Check out my blog at:
http://yelloww.net

My Video Gear:
Sony FDR-AX53 4K Handycam: http://amzn.to/2hYePVc
Sony ECMW1M Wireless Microphone: http://amzn.to/2gQKDGG
Samsung Gear 360 Camera: http://amzn.to/2hKKyGE
LensPen Lens Cleaner: http://amzn.to/2hPYui1
Pacsafe LS250 Anti-theft Shoulder Bag: http://amzn.to/2h0YCNt
Manfroto Pixi Mini Tripod: http://amzn.to/2ilJms6
Manfrotto Twist Grip Clamp: http://amzn.to/2hYEnyN
Manfrotto LUMIMUSE 3 LED Light: http://amzn.to/2heTepU

Music:
Easy Lemon Kevin MacLeod (incompetech.com)",Travel
